state,iconic_chain,must_try_item,regional_dish,notes
Alabama,Milo's Hamburgers,Milo's burger + sweet tea,Alabama white-sauce smoked chicken,The sweet tea is canonical
Alaska,Skinny Dicks Halfway Inn,Reindeer sausage,King salmon + reindeer dogs,Limited fast food — try local salmon shacks
Arizona,Filiberto's,California burrito,Sonoran hot dog,Try Eegee's in Tucson for the slushy + sub combo
Arkansas,Sonic Drive-In,Cherry limeade + tots,Cheese dip (queso),Sonic was founded in OK but feels Southern
California,In-N-Out Burger,Double-Double Animal Style + animal-style fries,Mission burrito (SF) + carnitas (LA),Order off-menu — that's the point
Colorado,Casa Bonita (slow but iconic),All-you-can-eat sopaipillas + diving show,Green chile cheeseburger,South Park immortalized it for a reason
Connecticut,Friendly's,Fribble milkshake + Jim Dandy sundae,Hot lobster roll,Friendly's started here in 1935
Delaware,Wawa,Hoagie + sized coffee,Scrapple,Delaware = the tiny state that loves Wawa
Florida,Pollo Tropical,Cuban sandwich + tres leches,Cuban + key lime pie,Versailles in Miami is the indie pick
Georgia,Chick-fil-A (started here),Chicken sandwich + waffle fries,Brunswick stew + peach cobbler,The Dwarf House in Hapeville is the original location
Hawaii,Zippy's,Chili rice + saimin,Plate lunch + spam musubi,Zippy's chili is a legitimate cult
Idaho,Boise Fry Company,Idaho fries with weird sauces,Finger steaks,The state that grows the potato
Illinois,Portillo's,Italian beef dipped + chocolate cake shake,Chicago dog (no ketchup),Don't put ketchup on a Chicago dog
Indiana,Steak 'n Shake (founded here),Steakburger + chocolate shake,Sugar cream pie + tenderloin sandwich,Indiana invented the breaded pork tenderloin
Iowa,Maid-Rite,Loose-meat sandwich + cheese frenchee,Pork tenderloin sandwich,Loose-meat is genuinely strange and great
Kansas,Spangles,Big Brunch burger + onion rings,Burnt ends + KC BBQ,KC barbecue is the real Kansas food story
Kentucky,KFC (started in Corbin),Original Recipe + mashed potatoes,Hot Brown + bourbon ball,Sanders Cafe in Corbin is the OG location
Louisiana,Raising Cane's,3 chicken fingers + Cane's sauce + Texas toast,Po-boy + jambalaya + beignet,Raising Cane's is the only thing on the menu
Maine,Amato's,Italian sandwich (Amato's original),Lobster roll (cold + mayo),Red's Eats in Wiscasset is the lobster-roll temple
Maryland,Royal Farms,RoFo chicken + western fries,Crab cake + Old Bay,Crab cake fast food doesn't really exist; sit-down is the move
Massachusetts,Dunkin' (born in Quincy),Iced coffee + a glazed,Lobster roll + clam chowder + Italian sub,Iced coffee year-round is the New England rite
Michigan,Olga's Kitchen,Olga + Olga snackers,Coney dog + Detroit-style pizza,Coney dogs (Lafayette vs American) are the local debate
Minnesota,Davanni's,Hot Hoagie + pepperoni pizza,Juicy Lucy + lutefisk,Matt's Bar vs 5-8 Club for the Juicy Lucy
Mississippi,The Beach,Smashed cheeseburger,Mississippi mud pie + delta tamales,Delta tamales are the underrated regional food
Missouri,Imo's Pizza,St. Louis-style thin crust + provel cheese,Toasted ravioli + St. Louis BBQ,Provel cheese is divisive but iconic
Montana,Stella's Kitchen and Bakery (Billings),Cinnamon roll + pie,Pasty + huckleberry everything,Pasties from MT mining heritage
Nebraska,Runza,Runza sandwich + cheese frenchee,Runza + Reuben (invented in Omaha),Runza is a cabbage-meat-onion bun unique to NE
Nevada,Roberto's Taco Shop,California burrito + carne asada fries,Buffet + 24-hour shrimp cocktail,Vegas buffet culture is its own food category
New Hampshire,Heav'nly Donuts,Maple-glazed donut + coffee,Lobster roll + maple syrup,Maple syrup season is March
New Jersey,Wawa,Hoagie + coffee,Italian hoagie + pork roll-egg-cheese,Pork roll vs Taylor ham is the eternal NJ debate
New Mexico,Blake's Lotaburger,Green Chile Cheeseburger,Green chile cheeseburger + sopaipilla,Hatch chile season is August-September
New York,Halal Guys (started as a cart),Combo over rice + white sauce,NY-style pizza slice + bagel + halal cart chicken,The chicken-and-rice cart is its own food genre
North Carolina,Cook Out,Cook Out tray (3 sides + drink + sandwich),Lexington-style chopped pork + Carolina BBQ slaw,Cook Out trays are the value play of the South
North Dakota,Space Aliens Bar & Grill,Galactic Burger + ribs,Knoephla soup + lefse,ND food is mostly Scandinavian heritage
Ohio,Skyline Chili,3-way + 4-way Cincinnati chili,Cincinnati chili + buckeye candy,Cincinnati chili is on spaghetti — yes it's weird
Oklahoma,Sonic Drive-In (founded in OK),Cherry limeade + cheese tots,Onion-fried burger (El Reno) + chicken-fried steak,The El Reno onion burger is the regional beef
Oregon,Burgerville,Tillamook cheeseburger + seasonal milkshake,Marionberry pie + voodoo doughnut,Voodoo Doughnut is a Portland icon for a reason
Pennsylvania,Sheetz / Wawa,MTO sub + iced coffee,Cheesesteak + soft pretzel + scrapple,Sheetz vs Wawa is a literal regional war
Rhode Island,Newport Creamery,Awful Awful milkshake,Stuffies + clam cakes + coffee milk,Awful Awful = "awful big awful good"
South Carolina,Bojangles,Cajun chicken biscuit + dirty rice,She-crab soup + mustard BBQ,Mustard-based BBQ is uniquely SC
South Dakota,Wall Drug,5-cent coffee + nickel-coffee experience,Chislic (deep-fried lamb) + kuchen,Wall Drug is more roadside attraction than food
Tennessee,Pal's Sudden Service,Sausage biscuit + frenchie fries,Memphis dry-rub ribs + Nashville hot chicken,Nashville hot chicken (Prince's) is the move
Texas,Whataburger,Whataburger + spicy ketchup,Brisket + breakfast taco + queso,Whataburger orange-and-white is sacred
Utah,JCW's Burgers,JCW Big Cheese + onion rings,Funeral potatoes + fry sauce,Fry sauce is just ketchup + mayo and Utah loves it
Vermont,Al's French Frys,Fries + creemee,Maple creemee + Vermont cheddar,A creemee = soft-serve maple ice cream
Virginia,Wawa,Hoagie + coffee,Country ham + peanut soup + brunswick stew,VA's Wawa fanaticism rivals NJ's
Washington,Dick's Drive-In,Deluxe burger + chocolate shake,Geoduck + Dungeness crab + salmon,Dick's is a Seattle institution since 1954
West Virginia,Tudor's Biscuit World,Mary B (egg + bacon + cheese on biscuit),Pepperoni roll + ramps,Pepperoni rolls are pure WV
Wisconsin,Culver's (founded here),ButterBurger + frozen custard concrete mixer,Cheese curds + bratwurst + fish fry Friday,Cheese curds must squeak
Wyoming,Taco John's,Potato Olé's + Meat & Potato burrito,Bison burger + huckleberry,Taco John's potato olés are a regional cult
